3356	8212	0	6	8	X 
3357	8212	1	6	30	X 
34860	43180	0	6	3080	X 
48858	55884	0	36	0	X 
197442	146269	0	157	1	X 
199851	147343	0	3	0	X 
200343	147597	0	157	1	X 
203737	148995	0	6	200000	X 
203738	148995	1	6	75000	X 
203739	148995	2	6	10	X 
231366	164140	0	80	100	X 
237935	168103	0	157	1	X 
237955	168115	0	157	1	X 
237988	168143	0	80	630	X 
237999	168150	0	80	645	X 
238000	168151	0	80	655	X 
238004	168154	0	80	3	X 
238005	168155	0	80	6	X 
238006	168156	0	80	5	X 
238007	168157	0	80	9	X 
238008	168158	0	80	8	X 
238009	168159	0	80	10	X 
238010	168160	0	80	12	X 
238011	168161	0	80	15	X 
238012	168162	0	80	15	X 
238135	168235	0	80	3	X 
238136	168236	0	80	6	X 
238137	168237	0	80	5	X 
238138	168238	0	80	9	X 
238139	168239	0	80	8	X 
238140	168240	0	80	10	X 
238141	168241	0	80	12	X 
238142	168242	0	80	615	X 
238143	168243	0	80	630	X 
238144	168244	0	80	645	X 
238145	168245	0	80	655	X 
238146	168246	0	80	15	X 
238332	168389	0	80	615	X 
238344	168395	0	80	5	X 
238728	168244	1	3	645	X 
238962	168700	0	157	1	X 
238963	168701	0	157	1	X 
238967	168705	0	157	1	X 
238968	168706	0	157	1	X 
238969	168707	0	157	1	X 
238970	168708	0	157	1	X 
238971	168709	0	157	1	X 
238972	168710	0	157	1	X 
238974	168712	0	157	1	X 
238975	168713	0	157	1	X 
238976	168714	0	157	1	X 
238978	168716	0	157	1	X 
238981	168719	0	157	1	X 
238985	168723	0	157	1	X 
238986	168724	0	157	1	X 
238987	168725	0	157	1	X 
238988	168726	0	157	1	X 
238989	168727	0	157	1	X 
238991	168729	0	157	1	X 
238994	168732	0	157	1	X 
238998	168736	0	157	1	X 
238999	168737	0	157	1	X 
239000	168738	0	157	1	X 
239001	168739	0	157	1	X 
239002	168740	0	157	1	X 
239004	168742	0	157	1	X 
239007	168745	0	157	1	X 
239011	168749	0	157	1	X 
239012	168750	0	157	1	X 
239013	168751	0	157	1	X 
241577	168151	1	3	655	X 
241581	168150	1	3	645	X 
241582	168143	1	3	630	X 
241583	168389	1	3	615	X 
241584	168242	1	3	615	X 
241585	168243	1	3	630	X 
241892	170470	0	24	1	X 
245908	172929	0	103	2500	X 
248453	174254	0	233	0	X 
249319	174707	0	77	1	X 
249320	174707	1	3	0	X 
249321	174707	2	3	0	X 
249529	174828	0	244	0	X 
249533	174829	0	244	0	X 
249693	174914	0	80	15	X 
250770	175513	0	77	0	X 
251509	175887	0	3	0	X 
251510	175887	1	16	0	X 
251524	175894	0	3	0	X 
251525	175894	1	16	0	X 
251526	175895	0	3	0	X 
251527	175895	1	16	0	X 
251528	175896	0	3	0	X 
251529	175896	1	16	0	X 
251530	175897	0	3	0	X 
251531	175897	1	16	0	X 
251532	175898	0	3	0	X 
251533	175898	1	16	0	X 
256106	178444	0	157	1	X 
256107	178445	0	157	1	X 
259495	180419	0	231	2000	X 
259498	180420	0	244	0	X 
260003	180702	0	233	0	X 
260004	180703	0	233	0	X 
262356	181507	0	3	1	X 
262358	181507	1	3	1	X 
262374	181518	0	3	1	X 
262375	181518	1	3	1	X 
262376	181519	0	3	1	X 
262377	181519	1	3	1	X 
262378	181520	0	3	1	X 
262379	181520	1	3	1	X 
262380	181521	0	3	1	X 
262381	181521	1	3	1	X 
262382	181522	0	3	1	X 
262383	181522	1	3	1	X 
262384	181523	0	244	0	X 
262385	181524	0	3	1	X 
262386	181524	1	3	1	X 
262387	181525	0	3	1	X 
262388	181525	1	3	1	X 
262392	181529	0	244	0	X 
262393	181530	0	244	0	X 
262394	181531	0	244	0	X 
262776	181765	0	6	0	X 
262786	181765	1	6	0	X 
262957	181883	0	189	0	X 
264624	181765	2	6	0	X 
266189	181765	3	6	0	X 
273479	187534	0	189	0	X 
274081	187901	0	189	1	X 
274082	187902	0	189	1	X 
274085	187905	0	189	1	X 
274086	187906	0	189	1	X 
274088	187908	0	189	1	X 
274093	187913	0	189	1	X 
274094	187914	0	189	1	X 
274097	187917	0	189	1	X 
274098	187918	0	189	1	X 
274101	187921	0	189	1	X 
274102	187922	0	189	1	X 
274105	187925	0	189	1	X 
274106	187926	0	189	1	X 
274109	187929	0	189	1	X 
274110	187930	0	189	1	X 
274113	187933	0	189	1	X 
274114	187934	0	189	1	X 
275381	188542	0	240	7	X 
276990	189363	0	6	0	X 
277014	189386	0	166	1000	X 
277015	189387	0	80	50	X 
277016	189387	1	80	50	X 
277018	189389	0	103	1000	X 
277046	189389	1	103	1000	X 
277048	189389	2	103	1000	X 
277051	189389	3	103	1000	X 
277052	189389	4	103	1000	X 
277055	189389	5	103	1000	X 
277057	189389	6	103	1000	X 
277059	189389	7	103	1000	X 
277063	189419	0	166	250	X 
280028	189389	8	103	1000	X 
280029	189389	9	103	1000	X 
280060	190959	0	240	50	X 
283663	193345	0	6	0	X 
284135	193345	1	6	0	X 
284136	193345	2	6	0	X 
286811	195386	0	128	0	X 
288413	196499	0	240	75	X 
288414	196500	0	240	100	X 
302125	204695	0	240	1000	X 
307033	207600	0	240	300	X 
307267	207713	0	80	10	X 
307286	207725	0	244	0	X 
307300	207713	1	80	10	X 
307320	207743	0	244	0	X 
307925	208142	0	80	5	X 
309579	209162	0	6	0	X 
312448	210924	0	6	0	X 
314048	211945	0	6	0	X 
314115	208142	1	80	5	X 
314119	211996	0	80	10	X 
314120	211996	1	80	10	X 
314121	211997	0	80	15	X 
314122	211997	1	80	15	X 
314125	212000	0	157	1	X 
314489	212145	0	6	0	X 
321008	215850	0	6	218837	X 
321115	215915	0	244	0	X 
321185	215957	0	244	0	X 
321222	215976	0	6	215977	X 
321402	216090	0	6	0	X 
321513	216153	0	6	216154	X 
322673	216876	0	240	10	X 
322924	217024	0	240	400	X 
322930	217026	0	240	25	X 
322966	217045	0	240	75	X 
322981	217055	0	240	100	X 
323201	216876	1	3	0	X 
323217	217045	1	3	0	X 
323219	217055	1	3	0	X 
323220	217024	1	3	0	X 
323221	217026	1	3	0	X 
323448	217299	0	240	35	X 
323449	217299	1	3	0	X 
323450	217300	0	240	35	X 
