1	1	2000	0	1	0	X 
2	2	60000	1800	1	0	X 
3	3	120000	1800	1	0	X 
4	4	0	0	1	0	X 
5	5	0	0	1	0	X 
29	2	5000	0	2	0	X 
30	3	40000	0	2	0	X 
31	4	0	0	2	0	X 
32	2	20000	200	4	0	X 
33	3	100000	200	4	0	X 
34	4	200000	200	4	0	X 
35	1	8000	200	4	0	X 
45	6	0	0	4	0	X 
46	5	0	0	4	0	X 
47	1	1000	0	22	0	X 
48	4	0	0	22	0	X 
49	3	2000	0	22	0	X 
50	2	1500	0	22	0	X 
51	4	0	0	22	190	X 
52	3	2000	0	22	190	X 
53	2	1500	0	22	190	X 
54	1	1000	0	22	190	X 
55	4	0	0	22	183	X 
56	3	2000	0	22	183	X 
57	2	1500	0	22	183	X 
58	1	1000	0	22	183	X 
59	3	2000	0	22	194	X 
60	2	1500	0	22	194	X 
61	1	1000	0	22	194	X 
62	3	2000	0	22	193	X 
63	2	1500	0	22	193	X 
64	1	1000	0	22	193	X 
