60	132724	1	Layered Tunic		0	8192	8388608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	5	1	5	0	X 
61	443401	1	Dwarven Leather Pants		0	8192	8388608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	3	1	7	0	X 
79	443400	1	Dwarven Cloth Britches		0	8192	8388608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	3	1	7	0	X 
80	132543	1	Soft Fur-Lined Shoes		0	8192	8388608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	5	1	8	0	X 
117	133972	1	Tough Jerky		0	8192	8388608	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	5	1	0	0	1	X 
118	134829	1	Minor Healing Potion		0	8192	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	5	0	0	1	X 
159	132794	1	Refreshing Spring Water		0	8192	8388608	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	5	1	0	0	1	X 
414	133995	1	Dalaran Sharp		0	8192	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	5	5	0	0	5	X 
422	133949	1	Dwarven Mild		0	8192	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	5	15	0	0	15	X 
710	132610	1	Bracers of the People's Militia		0	8192	8388608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	14	1	9	0	X 
719	445518	1	Rabbit Handler Gloves		0	8192	8388608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	1	10	0	X 
724	133952	1	Goretusk Liver Pie		0	8192	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	5	5	0	0	5	X 
728	134939	1	Recipe: Westfall Stew	Teaches you how to cook Westfall Stew.	33554496	8192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5	15	1	0	0	X 
733	133748	1	Westfall Stew		0	8192	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	5	15	0	0	15	X 
